user id,query number,query,"task (+ = re-attempt, repair = trying to recover from error made by previous query, * = trying to get the browser to focus on a component, which isn't supported)",success? + = yes,Chickenfoot command
75,0,google,1.1,,"click(xpath(/* no keywords (html link)*/ ""BODY[1]/TABLE[1]/TBODY[1]/TR[3]/TD[1]/A[1]""))"
75,1,url www.google.com,1.1 +,+,"go(/*url*/ ""www.google.com"")"
75,2,url www.google.com mit,1.2,,"go(/*url*/ ""www.google.com"")"
75,3,field mit,1.2 +,+,"enter(/*string*/ ""mit"", xpath(/* no keywords (html textbox)*/ ""BODY[1]/CENTER[1]/FORM[1]/TABLE[2]/TBODY[1]/TR[1]/TD[2]/INPUT[2]""))"
75,4,buttom I'm Feeling Lucky,1.3 +,+,"enter(/*string*/ ""buttom"", xpath(/* i m feel lucky(html textbox)*/ ""BODY[1]/CENTER[1]/FORM[1]/TABLE[2]/TBODY[1]/TR[1]/TD[2]/INPUT[2]""))"
75,5,field mit,repair,,"enter(/*string*/ ""mit"", xpath(/* no keywords (html textbox)*/ ""BODY[1]/CENTER[1]/FORM[1]/TABLE[2]/TBODY[1]/TR[1]/TD[2]/INPUT[2]""))"
75,6,button I'm Feeling Lucky,1.3,,"click(xpath(/* i m feel lucky(html button)*/ ""BODY[1]/CENTER[1]/FORM[1]/TABLE[2]/TBODY[1]/TR[1]/TD[2]/INPUT[4]""))"
75,7,link OpenCourseWare,1.4 +,+,"click(xpath(/* open cours ware(html link)*/ ""BODY[1]/DIV[1]/DIV[3]/FORM[1]/TABLE[1]/TBODY[1]/TR[4]/TD[2]/A[2]""))"
75,8,link Advanced Search,1.5 +,+,"click(xpath(/* advanced search(html link)*/ ""BODY[1]/FORM[1]/DIV[2]/DIV[3]/DIV[1]/DIV[1]/DIV[1]/DIV[3]/A[1]""))"
75,9,field without,1.6,,"enter(/*string*/ ""without"", xpath(/* no keywords (html textbox)*/ ""BODY[1]/DIV[1]/DIV[2]/DIV[1]/DIV[3]/DIV[1]/DIV[2]/FORM[1]/TABLE[1]/TBODY[1]/TR[1]/TD[3]/INPUT[1]""))"
75,10,field ,repair,,"enter(/*string*/ ""field"", xpath(/* no keywords (html textbox)*/ ""BODY[1]/DIV[1]/DIV[2]/DIV[1]/DIV[3]/DIV[1]/DIV[2]/FORM[1]/TABLE[1]/TBODY[1]/TR[1]/TD[3]/INPUT[1]""))"
75,11,,repair,,/* no match */
75,12,field 2,repair,,"enter(/*string*/ ""2"", xpath(/* no keywords (html textbox)*/ ""BODY[1]/DIV[1]/DIV[2]/DIV[1]/DIV[3]/DIV[1]/DIV[2]/FORM[1]/TABLE[1]/TBODY[1]/TR[1]/TD[3]/INPUT[1]""))"
75,13,url web.mit.edu,repair,,"go(/*url*/ ""web.mit.edu"")"
75,14,link OpeCourseWare,repair,,"click(xpath(/* open cours ware(html link)*/ ""BODY[1]/DIV[1]/DIV[3]/FORM[1]/TABLE[1]/TBODY[1]/TR[4]/TD[2]/A[2]""))"
75,15,link Advanced Search,repair,,"click(xpath(/* advanced search(html link)*/ ""BODY[1]/FORM[1]/DIV[2]/DIV[3]/DIV[1]/DIV[1]/DIV[1]/DIV[3]/A[1]""))"
75,16,"field ""without the words"" nothing",1.6,,"enter(/*the*/ quote(/*string*/ """" nothing""), xpath(/* without(html textbox)*/ ""BODY[1]/DIV[1]/DIV[2]/DIV[1]/DIV[3]/DIV[1]/DIV[2]/FORM[1]/TABLE[1]/TBODY[1]/TR[4]/TD[3]/INPUT[1]""))"
75,17,field 4 nothing,1.6 +,+,"enter(/*string*/ ""nothing"", xpath(/* no keywords [4] (html textbox)*/ ""BODY[1]/DIV[1]/DIV[2]/DIV[1]/DIV[3]/DIV[1]/DIV[2]/FORM[1]/TABLE[1]/TBODY[1]/TR[4]/TD[3]/INPUT[1]""))"
75,18,field 5 Calendar,1.8 +,+,"enter(/*string*/ ""5 Calendar"", xpath(/* no keywords (html textbox)*/ ""BODY[1]/DIV[1]/DIV[2]/DIV[1]/DIV[3]/DIV[1]/DIV[2]/FORM[1]/TABLE[1]/TBODY[1]/TR[1]/TD[3]/INPUT[1]""))"
75,19,"field 1 """"",repair,,"enter(/*string*/ ""1 """""", xpath(/* no keywords (html textbox)*/ ""BODY[1]/DIV[1]/DIV[2]/DIV[1]/DIV[3]/DIV[1]/DIV[2]/FORM[1]/TABLE[1]/TBODY[1]/TR[1]/TD[3]/INPUT[1]""))"
75,20,field 1 ,repair,,"enter(/*string*/ ""1"", xpath(/* no keywords (html textbox)*/ ""BODY[1]/DIV[1]/DIV[2]/DIV[1]/DIV[3]/DIV[1]/DIV[2]/FORM[1]/TABLE[1]/TBODY[1]/TR[1]/TD[3]/INPUT[1]""))"
75,21,clear field,repair,,"clear(xpath(/* no keywords (html textbox)*/ ""BODY[1]/DIV[1]/DIV[2]/DIV[1]/DIV[3]/DIV[1]/DIV[2]/FORM[1]/TABLE[1]/TBODY[1]/TR[1]/TD[3]/INPUT[1]""))"
75,22,option Calendar,1.7,,"select(xpath(/* cardinal(html listitem)*/ ""BODY[1]/DIV[1]/DIV[2]/DIV[1]/DIV[3]/DIV[1]/DIV[2]/FORM[1]/TABLE[1]/TBODY[1]/TR[6]/TD[3]/SELECT[1]/OPTION[4]""), undefined)"
75,23,option clear,1.7 +,+,"deselect(xpath(/* no keywords (html listitem)*/ ""BODY[1]/DIV[1]/DIV[2]/DIV[1]/DIV[3]/DIV[1]/DIV[2]/FORM[1]/TABLE[1]/TBODY[1]/TR[6]/TD[3]/SELECT[1]/OPTION[1]""), undefined)"
75,24,option 3 by Date,1.9 +,+,"select(xpath(/* 3 by date(html listitem)*/ ""BODY[1]/DIV[1]/DIV[2]/DIV[1]/DIV[3]/DIV[1]/DIV[2]/FORM[1]/TABLE[1]/TBODY[1]/TR[10]/TD[3]/SELECT[1]/OPTION[2]""), undefined)"
75,25,button Search,1.91 +,+,"click(xpath(/* search(html button)*/ ""BODY[1]/DIV[1]/DIV[2]/DIV[1]/DIV[3]/DIV[1]/DIV[2]/FORM[1]/TABLE[1]/TBODY[1]/TR[12]/TD[3]/INPUT[1]""))"
75,26,url www.google.com,2.1 +,+,"go(/*url*/ ""www.google.com"")"
75,27,link Images,2.2,+,"click(xpath(/* imag(html link)*/ ""BODY[1]/CENTER[1]/FORM[1]/TABLE[1]/TBODY[1]/TR[1]/TD[1]/FONT[1]/A[1]""))"
75,28,link Advanced,2.3,+,"click(xpath(/* advanced(html link)*/ ""BODY[1]/CENTER[1]/FORM[1]/TABLE[2]/TBODY[1]/TR[1]/TD[3]/FONT[1]/A[1]""))"
75,29,field lisa simpson,2.4,+,"enter(/*string*/ ""lisa simpson"", xpath(/* no keywords (html textbox)*/ ""BODY[1]/FORM[1]/P[1]/TABLE[1]/TBODY[1]/TR[1]/TD[1]/TABLE[1]/TBODY[1]/TR[1]/TD[1]/TABLE[1]/TBODY[1]/TR[1]/TD[2]/TABLE[1]/TBODY[1]/TR[1]/TD[2]/INPUT[1]""))"
75,30,option large,2.5,+,"select(xpath(/* large(html listitem)*/ ""BODY[1]/FORM[1]/P[1]/TABLE[1]/TBODY[1]/TR[1]/TD[1]/TABLE[1]/TBODY[1]/TR[2]/TD[1]/TABLE[1]/TBODY[1]/TR[1]/TD[3]/FONT[1]/SELECT[1]/OPTION[4]""), undefined)"
